Designator,Mid X,Mid Y,Layer,Rotation
C1,131.00,-68.00,T,270.00
C2,125.00,-68.00,T,270.00
D1,127.00,-68.00,T,270.00
D2,121.00,-68.00,T,270.00
D3,117.85,-62.84,T,90.00
F1,119.00,-56.50,T,270.00
J1,130.00,-53.00,T,270.00
J2,65.90,-84.44,T,90.00
J3,105.30,-84.44,T,90.00
R1,129.50,-56.50,T,90.00
R2,131.00,-56.50,T,270.00
R3,127.50,-56.50,T,270.00
R4,129.00,-68.00,T,90.00
R5,122.00,-56.50,T,270.00
R6,123.50,-56.50,T,90.00
R7,125.00,-56.50,T,270.00
R8,123.00,-68.00,T,90.00
R9,133.00,-60.00,T,90.00
R10,117.85,-59.62,T,270.00
R11,68.90,-55.60,T,0.00
R12,71.90,-55.60,T,0.00
R13,80.92,-55.60,T,0.00
R14,83.90,-55.60,T,0.00
R15,93.83,-55.60,T,0.00
R16,96.97,-55.60,T,0.00
R17,106.53,-55.60,T,0.00
R18,109.60,-55.60,T,0.00
R19,74.90,-55.60,T,0.00
R20,77.90,-55.60,T,0.00
R21,86.88,-55.60,T,0.00
R22,89.90,-55.60,T,0.00
R23,100.30,-55.60,T,180.00
R24,103.40,-55.60,T,180.00
R25,112.70,-55.60,T,0.00
R26,115.80,-55.60,T,0.00
U1,129.00,-62.00,T,270.00
U2,123.00,-62.00,T,270.00
