Designator,Mid X,Mid Y,Layer,Rotation
C1,108.05,-82.08,T,90.00
C2,108.05,-78.88,T,270.00
C3,124.30,-83.79,T,270.00
C4,125.30,-76.99,T,180.00
C5,126.10,-83.79,T,270.00
C6,106.95,-74.78,T,0.00
C7,119.36,-74.78,T,0.00
D1,105.85,-82.08,T,90.00
D2,125.90,-87.17,T,270.00
J1,122.47,-96.45,T,270.00
J2,99.46,-60.26,T,90.00
R1,100.36,-72.58,T,270.00
R2,104.65,-91.05,T,90.00
R3,107.25,-91.05,T,90.00
R4,109.65,-91.05,T,90.00
R5,112.45,-91.05,T,90.00
R6,114.85,-91.05,T,90.00
R7,117.45,-91.05,T,90.00
R8,119.85,-91.05,T,90.00
R9,122.45,-91.05,T,90.00
R10,118.55,-83.95,T,90.00
R11,108.05,-85.30,T,90.00
R12,113.16,-68.58,T,270.00
R13,125.75,-71.58,T,270.00
R14,113.16,-71.97,T,270.00
R15,124.30,-87.15,T,270.00
U1,113.45,-81.85,T,90.00
U2,106.75,-69.97,T,90.00
U3,125.25,-79.99,T,270.00
U4,119.45,-69.85,T,90.00
